Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Bled;4 sobe;2 osebi;98
Bled;4 sobe;3 osebe;114
Bled;4 sobe;4 osebe;87
Bled;4 sobe;5 oseb;48
Bled;4 sobe;6 oseb;30
Bled;4 sobe;7 oseb ali veè;19
Bled;5 sob ali veè;Število oseb -SKUPAJ;951
Bled;5 sob ali veè;1 oseba;134
Bled;5 sob ali veè;2 osebi;179
Bled;5 sob ali veè;3 osebe;166
Bled;5 sob ali veè;4 osebe;161
Bled;5 sob ali veè;5 oseb;134
Bled;5 sob ali veè;6 oseb;105
Bled;5 sob ali veè;7 oseb ali veè;72
Bloke;Število sob - SKUPAJ;Število oseb -SKUPAJ;518
Bloke;Število sob - SKUPAJ;1 oseba;157
Bloke;Število sob - SKUPAJ;2 osebi;99
Bloke;Število sob - SKUPAJ;3 osebe;76
Bloke;Število sob - SKUPAJ;4 osebe;85
Bloke;Število sob - SKUPAJ;5 oseb;50
Bloke;Število sob - SKUPAJ;6 oseb;24
Bloke;Število sob - SKUPAJ;7 oseb ali veè;27
Bloke;1 soba;Število oseb -SKUPAJ;23
Bloke;1 soba;1 oseba;16
Bloke;1 soba;2 osebi;2
Bloke;1 soba;3 osebe;0
Bloke;1 soba;4 osebe;4
Bloke;1 soba;5 oseb;0
Bloke;1 soba;6 oseb;1
Bloke;1 soba;7 oseb ali veè;0
Bloke;2 sobi;Število oseb -SKUPAJ;93
Bloke;2 sobi;1 oseba;51
Bloke;2 sobi;2 osebi;19
Bloke;2 sobi;3 osebe;9
Bloke;2 sobi;4 osebe;8
Bloke;2 sobi;5 oseb;3
Bloke;2 sobi;6 oseb;1
Bloke;2 sobi;7 oseb ali veè;2
Bloke;3 sobe;Število oseb -SKUPAJ;127
Bloke;3 sobe;1 oseba;39
Bloke;3 sobe;2 osebi;29
Bloke;3 sobe;3 osebe;21
Bloke;3 sobe;4 osebe;17
Bloke;3 sobe;5 oseb;13
Bloke;3 sobe;6 oseb;4
Bloke;3 sobe;7 oseb ali veè;4
Bloke;4 sobe;Število oseb -SKUPAJ;135
Bloke;4 sobe;1 oseba;35
Bloke;4 sobe;2 osebi;25
Bloke;4 sobe;3 osebe;25
Bloke;4 sobe;4 osebe;23
Bloke;4 sobe;5 oseb;15
Bloke;4 sobe;6 oseb;2
Bloke;4 sobe;7 oseb ali veè;10
Bloke;5 sob ali veè;Število oseb -SKUPAJ;140
Bloke;5 sob ali veè;1 oseba;16
Bloke;5 sob ali veè;2 osebi;24
Bloke;5 sob ali veè;3 osebe;21
Bloke;5 sob ali veè;4 osebe;33
Bloke;5 sob ali veè;5 oseb;19
Bloke;5 sob ali veè;6 oseb;16
Bloke;5 sob ali veè;7 oseb ali veè;11
Bohinj;Število sob - SKUPAJ;Število oseb -SKUPAJ;1762
Bohinj;Število sob - SKUPAJ;1 oseba;576
Bohinj;Število sob - SKUPAJ;2 osebi;323
Bohinj;Število sob - SKUPAJ;3 osebe;280
Bohinj;Število sob - SKUPAJ;4 osebe;254
Bohinj;Število sob - SKUPAJ;5 oseb;149
Bohinj;Število sob - SKUPAJ;6 oseb;91
Bohinj;Število sob - SKUPAJ;7 oseb ali veè;89
Bohinj;1 soba;Število oseb -SKUPAJ;154
Bohinj;1 soba;1 oseba;88
Bohinj;1 soba;2 osebi;25
Bohinj;1 soba;3 osebe;17
Bohinj;1 soba;4 osebe;12
Bohinj;1 soba;5 oseb;10
Bohinj;1 soba;6 oseb;0
Bohinj;1 soba;7 oseb ali veè;2
Bohinj;2 sobi;Število oseb -SKUPAJ;367
Bohinj;2 sobi;1 oseba;169
Bohinj;2 sobi;2 osebi;76
Bohinj;2 sobi;3 osebe;57
Bohinj;2 sobi;4 osebe;39
Bohinj;2 sobi;5 oseb;15
Bohinj;2 sobi;6 oseb;9
Bohinj;2 sobi;7 oseb ali veè;2
Bohinj;3 sobe;Število oseb -SKUPAJ;372
Bohinj;3 sobe;1 oseba;138
Bohinj;3 sobe;2 osebi;89
Bohinj;3 sobe;3 osebe;48
Bohinj;3 sobe;4 osebe;49
Bohinj;3 sobe;5 oseb;26
Bohinj;3 sobe;6 oseb;13
Bohinj;3 sobe;7 oseb ali veè;9
Bohinj;4 sobe;Število oseb -SKUPAJ;300
Bohinj;4 sobe;1 oseba;83
Bohinj;4 sobe;2 osebi;56
Bohinj;4 sobe;3 osebe;55
Bohinj;4 sobe;4 osebe;54
Bohinj;4 sobe;5 oseb;24
Bohinj;4 sobe;6 oseb;12
Bohinj;4 sobe;7 oseb ali veè;16
Bohinj;5 sob ali veè;Število oseb -SKUPAJ;569
Bohinj;5 sob ali veè;1 oseba;98
Bohinj;5 sob ali veè;2 osebi;77
Bohinj;5 sob ali veè;3 osebe;103
Bohinj;5 sob ali veè;4 osebe;100
Bohinj;5 sob ali veè;5 oseb;74
Bohinj;5 sob ali veè;6 oseb;57
Bohinj;5 sob ali veè;7 oseb ali veè;60
Borovnica;Število sob - SKUPAJ;Število oseb -SKUPAJ;1292
Borovnica;Število sob - SKUPAJ;1 oseba;233
Borovnica;Število sob - SKUPAJ;2 osebi;276
Borovnica;Število sob - SKUPAJ;3 osebe;262
Borovnica;Število sob - SKUPAJ;4 osebe;244
Borovnica;Število sob - SKUPAJ;5 oseb;127
Borovnica;Število sob - SKUPAJ;6 oseb;79
